area_id,station_id,station_name,station_lon,station_lat,distance_km
proenca-a-nova,1200559,Viseu (Aeródromo),-7.887472,40.72645,109.75666259850391
proenca-a-nova,1210704,Dunas de Mira,-8.76168055,40.445955,110.19094938816666
proenca-a-nova,1210835,Elvas,-7.13976111,38.8908,112.54309251096552
proenca-a-nova,6213016,Oliveira de Frades (CIM),-8.20133889,40.716925,112.57506939969863
proenca-a-nova,6213020,Satão (CIM),-7.72019722,40.76072778,114.11456933134484
proenca-a-nova,1210702,Aveiro (Universidade),-8.65958333,40.63529722,120.8543844594713
proenca-a-nova,6213011,Aguiar da Beira (CIM),-7.53371944,40.81203611,122.33354108192896
proenca-a-nova,6213018,São Pedro do Sul (CIM),-8.11568056,40.83031944,123.25572196018126
proenca-a-nova,1210666,"Trancoso, Bandarra",-7.36666667,40.78333333,123.2738764217853
proenca-a-nova,6213022,Vila Nova de Paiva (CIM),-7.72716389,40.85595,124.58529492809373
proenca-a-nova,1210846,Montemor-O-Novo,-8.1991,38.6451,124.93723957084445
proenca-a-nova,1200558,Évora (C.Coordenação),-7.88338056,38.53336389,133.79074165123316
proenca-a-nova,1200843,Évora (Aeródromo),-7.8916,38.5296,134.22300802682471
proenca-a-nova,5210758,Alcochete / Campo Tiro,-8.7825,38.7627,134.6472612236945
proenca-a-nova,1210669,Arouca,-8.25,40.93333333,136.8604263777054
proenca-a-nova,1210739,"Torres Vedras, Dois Portos",-9.179,39.04389444,137.61189331234374
proenca-a-nova,6213013,Castro Daire / Mézio (CIM),-7.88318889,40.98086111,137.99579124819266
proenca-a-nova,1210767,Pegões,-8.63503,38.65079,138.23191877574376
proenca-a-nova,1200531,Cabo Carvoeiro,-9.40737778,39.38,139.14996572627442
proenca-a-nova,1210671,"F. Castelo Rodrigo, V.Torpim",-6.88333333,40.75,139.5207478491918
proenca-a-nova,1210663,Moimenta da Beira,-7.6,40.98333333,139.94732385340208
proenca-a-nova,1210840,"Reguengos, S. P. do Corval",-7.4729166,38.484866,143.0383789654104
proenca-a-nova,1210665,Mêda,-7.2569,40.9689,145.81043492567713
proenca-a-nova,1210746,Santa Cruz (Aeródromo),-9.3790388,39.12594166,147.7191969169445
proenca-a-nova,1210580,"Lisboa, Relógio",-9.1254,38.7618,154.1518308336307
proenca-a-nova,1210766,"Barreiro, Lavradio",-9.04766111,38.67448611,156.67046108299598
