area_id,cell_id,cell_seq,cell_size_m,grid_x_min,grid_y_min,grid_x_max,grid_y_max,cell_area_m2,coverage_ratio,centroid_x,centroid_y,centroid_lon,centroid_lat,municipio,distrito_ilha,nuts1,nuts2,nuts3,nuts3_cod,source_boundary_dataset,boundary_curated_at_utc,cells_attributes_curated_at_utc,altitude_m,slope_deg,aspect_deg,land_cover_class,land_cover_macroclass,land_cover_pct_dominant,dominant_forest_type,dominant_fuel_model,tree_cover_density,structural_hazard,conjunctural_hazard,attributes_status,land_cover_code,land_cover_label,land_cover_source,structural_hazard_code
proenca-a-nova,proenca-a-nova-0011,11,1000,28000,21000,29000,22000,639926.1770833698,0.6399261770833699,28555.21523188898,21331.907908348978,-7.799395395450318,39.85990555197096,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,12.716617,107.0494,Florestas de pinheiro bravo,florestas,95.35535011593413,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0012,12,1000,29000,21000,30000,22000,994033.9824873105,0.9940339824873106,29502.85981550024,21497.348652985438,-7.788313395625815,39.8613631646028,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,17.160345,101.349953,Florestas de pinheiro bravo,florestas,82.54660504761068,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0013,13,1000,30000,21000,31000,22000,525821.4657485401,0.5258214657485402,30266.265378782024,21476.779307850313,-7.7793927131144205,39.861151050131355,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,11.678366,247.86673,Florestas de pinheiro bravo,florestas,84.0712167534465,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0014,14,1000,23000,20000,24000,21000,266308.79076830286,0.2663087907683029,23827.68711824994,20653.291550069287,-7.854668076688983,39.853939502727236,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,23.526123,108.289757,Florestas de pinheiro bravo,florestas,56.27888509897138,,,,muito_alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,5
proenca-a-nova,proenca-a-nova-0015,15,1000,24000,20000,25000,21000,1000000.0,1.0,24500.0,20500.0,-7.846817540057188,39.85253978755491,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,18.208857,74.887421,Florestas de pinheiro bravo,florestas,79.35979437540207,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0016,16,1000,25000,20000,26000,21000,1000000.0,1.0,25500.0,20500.0,-7.8351323474960335,39.85251036088378,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,13.59511,142.103882,Florestas de pinheiro bravo,florestas,68.38206795640541,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0017,17,1000,26000,20000,27000,21000,1000000.0,1.0,26500.0,20500.0,-7.823447172447373,39.85247975719089,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,11.04946,65.064163,Florestas de pinheiro bravo,florestas,86.42966595742202,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0018,18,1000,27000,20000,28000,21000,1000000.0,1.0,27500.0,20500.0,-7.811762015597909,39.852447976481535,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,16.741539,251.060425,Florestas de pinheiro bravo,florestas,71.91922202131231,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0019,19,1000,28000,20000,29000,21000,1000000.0,1.0,28500.0,20500.0,-7.800076877634342,39.85241501876123,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,9.026566,273.466919,Florestas de pinheiro bravo,florestas,91.6031243635226,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
proenca-a-nova,proenca-a-nova-0020,20,1000,29000,20000,30000,21000,1000000.0,1.0,29500.0,20500.0,-7.788391759243366,39.852380884035675,Proença-a-Nova,Castelo Branco,Continente,Centro,Beira Baixa,195,CAOP_Continente_2025,2026-04-05T13:21:13.074478+00:00,2026-04-05T13:36:15.102287+00:00,,10.786648,115.910484,Florestas de pinheiro bravo,florestas,82.24222773610383,,,,alta,,partial,5.1.2.1,Florestas de pinheiro bravo,COS2018v3-S2,4
