candidate_date,season_phase,hotspot_flag,burned_area_context_flag,pt_firesprd_flag,candidate_kind,source_dataset,source_municipality,source_fire_name,start_date,end_date,extent_ha,confidence_flag,incident_id,notes,hourly_observation_count,temperature_min_c,temperature_mean_c,temperature_max_c,relative_humidity_min_pct,relative_humidity_mean_pct,relative_humidity_max_pct,precipitation_total_mm,wind_speed_mean_ms,wind_speed_max_ms,wind_gust_max_ms,dry_day_flag,temperature_max_percentile,relative_humidity_min_percentile,wind_speed_max_percentile,wind_gust_max_percentile,precipitation_total_percentile,simple_weather_risk_score,simple_weather_risk_percentile,candidate_weather_kind,weather_context_source,noon_time_local,noon_observation_hour_local,noon_temperature_c,noon_relative_humidity_pct,noon_wind_speed_ms,noon_wind_speed_kmh,fwi_input_temperature_c,fwi_input_relative_humidity_pct,fwi_input_wind_kmh,fwi_input_rain_mm,ffmc_reference,dmc_reference,dc_reference,isi_reference,bui_reference,fwi_reference,fwi_reference_percentile,fwi_reference_class,kbdi_reference,kbdi_reference_percentile,kbdi_reference_class,fire_index_reference_score,fire_index_reference_percentile,fire_index_reference_kind,candidate_index_kind,index_context_source
2020-06-30,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Idanha-a-Nova,IdanhaaNova_30062020,2020-06-30,2020-06-30,728,4,2020050015270,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,16.8,23.920833333333334,31.7,30.0,61.125,92.0,0.0,2.7783333333333338,4.93,10.7,True,0.8778521448128993,0.7794341344691208,0.585792515972011,0.617128080316398,0.3346516580468512,0.750806,0.8743535138424094,elevated_weather_context,weather_daily_reference,2020-06-30 12:00:00,12,29.0,40.0,3.48,12.528,29.0,40.0,12.528,0.0,94.964,149.503,397.445,16.196,154.095,50.38,0.8740492850623669,extreme,284.708,0.5506540918770916,moderate,0.777031,0.8059020383328263,elevated_index_context,elevated_index_context,weather_daily_reference
2020-07-25,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Oleiros,Oleiros_25072020,2020-07-25,2020-07-27,5564,3,2020050017687,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,18.8,25.808333333333334,33.9,24.0,49.041666666666664,76.0,0.0,2.9920833333333334,5.88,12.9,True,0.9323090964405233,0.8757225433526011,0.8092485549132948,0.8471250380285975,0.3346516580468512,0.877943,0.9908731365987222,critical_weather_context,weather_daily_reference,2020-07-25 12:00:00,12,31.4,31.0,1.75,6.3,31.4,31.0,6.3,0.0,94.184,282.294,629.149,10.628,281.823,41.395,0.8110739275935503,extreme,484.613,0.7185883784606024,high,0.783328,0.8127471858837846,elevated_index_context,elevated_index_context,weather_daily_reference
2020-08-06,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Fundao,Fundao_06082020,2020-08-06,2020-08-06,749,5,2020050018872,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,21.5,28.275000000000002,35.8,24.0,42.875,61.0,0.0,2.44375,4.62,9.8,True,0.9694250076057195,0.8757225433526011,0.5053240036507454,0.4930027380590204,0.3346516580468512,0.777031,0.9099482811073928,critical_weather_context,weather_daily_reference,2020-08-06 12:00:00,12,32.7,31.0,3.54,12.744,32.7,31.0,12.744,0.0,95.107,338.076,735.097,16.697,337.322,55.197,0.9114694250076057,extreme,547.417,0.7891694554304837,high,0.874779,0.9053848494067539,critical_index_context,critical_index_context,weather_daily_reference
2020-08-07,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Fundao,Fundao_07082020,2020-08-07,2020-08-08,472,4,2020050018968,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,20.3,26.6875,33.9,33.0,51.083333333333336,72.0,0.0,2.3066666666666666,4.64,9.6,True,0.9323090964405233,0.7222391238211134,0.509278977791299,0.46288408883480375,0.3346516580468512,0.714268,0.8208092485549133,elevated_weather_context,weather_daily_reference,2020-08-07 12:00:00,12,30.4,35.0,2.86,10.296,30.4,35.0,10.296,0.0,95.158,342.303,743.573,14.862,341.529,51.355,0.8804380894432613,extreme,551.995,0.7998174627319744,high,0.856252,0.8874353513842409,elevated_index_context,elevated_index_context,weather_daily_reference
2020-08-29,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Castelo Branco,CasteloBranco_29082020,2020-08-29,2020-08-29,315,4,2020050021105,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,13.2,18.629166666666666,25.0,25.0,52.375,74.0,0.0,4.3725,5.51,12.0,True,0.6638271980529358,0.858685731670216,0.7377547916032857,0.7731974444782477,0.3346516580468512,0.753476,0.8789169455430483,elevated_weather_context,weather_daily_reference,2020-08-29 12:00:00,12,21.8,37.0,4.87,17.532,21.8,37.0,17.532,0.0,95.324,415.261,912.243,21.893,414.294,65.199,0.9653179190751445,extreme,609.817,0.8798296318831762,extreme,0.939671,0.9647094615150593,critical_index_context,critical_index_context,weather_daily_reference
2020-09-13,late_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Proenca-a-Nova,ProencaaNova_13092020,2020-09-13,2020-09-14,14568,4,2020050022403,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,20.5,26.84166666666667,33.9,18.0,37.25,65.0,0.0,3.0825,4.95,11.6,True,0.9323090964405233,0.9546699117736538,0.5921813203529054,0.7295406145421357,0.3346516580468512,0.840577,0.9750532400365075,critical_weather_context,weather_daily_reference,2020-09-13 12:00:00,12,31.0,25.0,3.78,13.607999999999999,31.0,25.0,13.608,0.0,96.819,478.741,1018.739,21.988,477.228,65.377,0.9674475205354427,extreme,650.106,0.9400669303316094,extreme,0.959233,0.9774870702768482,critical_index_context,critical_index_context,weather_daily_reference
2022-08-06,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Covilha,Covilha_06082022,2022-08-06,2022-08-24,23942,4,2022050022298,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,17.8,24.75,32.4,30.0,61.25,94.0,0.0,2.0741666666666667,4.02,7.6,True,0.8977791299056891,0.7794341344691208,0.3550349863097049,0.2330392455126255,0.3346516580468512,0.654016,0.7304533008822635,elevated_weather_context,weather_daily_reference,2022-08-06 12:00:00,12,27.4,52.0,2.05,7.38,27.4,52.0,7.38,0.0,99.103,378.539,871.152,21.722,378.004,64.873,0.9644052327350168,extreme,602.453,0.8652266504411318,extreme,0.934652,0.9616671737146334,critical_index_context,critical_index_context,weather_daily_reference
2023-07-19,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Covilha,Covilha_19072023,2023-07-19,2023-07-19,29,5,20230870850,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,17.5,24.304166666666664,33.0,20.0,52.291666666666664,83.0,0.0,2.38375,5.16,11.0,True,0.9107088530574993,0.9303316093702464,0.6518101612412535,0.6572862792820201,0.3346516580468512,0.826803,0.9619714024946759,critical_weather_context,weather_daily_reference,2023-07-19 12:00:00,12,29.1,27.0,1.63,5.867999999999999,29.1,27.0,5.868,0.0,96.026,182.403,583.577,13.381,204.786,46.982,0.8481898387587465,extreme,449.958,0.6866443565561302,high,0.799726,0.8278065104958929,elevated_index_context,elevated_index_context,weather_daily_reference
2023-08-04,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Castelo Branco,CasteloBranco_04082023,2023-08-04,2023-08-06,6597,4,20230945339,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,16.1,23.704166666666666,31.4,15.0,33.916666666666664,57.0,0.0,3.8066666666666666,5.53,11.8,True,0.8708548828719197,0.9814420444174019,0.7421661089139032,0.7534225737754792,0.3346516580468512,0.860678,0.9844843322178278,critical_weather_context,weather_daily_reference,2023-08-04 12:00:00,12,26.3,23.0,4.94,17.784000000000002,26.3,23.0,17.784,0.0,96.85,242.79,716.037,27.252,262.804,73.901,0.9875266200182538,extreme,512.672,0.7450562823243079,high,0.914786,0.9476726498326742,critical_index_context,critical_index_context,weather_daily_reference
2023-08-11,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Covilha,Covilha_11082023,2023-08-11,2023-08-11,81,5,20230981728,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,18.6,26.741666666666664,36.0,23.0,52.166666666666664,80.0,0.0,2.7262500000000003,5.23,11.4,True,0.9729236385762093,0.8913903255247947,0.6700638880438089,0.7067234560389413,0.3346516580468512,0.847962,0.9787039853970185,critical_weather_context,weather_daily_reference,2023-08-11 12:00:00,12,32.8,24.0,0.95,3.42,32.8,24.0,3.42,0.0,97.947,278.013,777.295,15.29,293.546,52.16,0.8898691816245817,extreme,557.767,0.8092485549132948,high,0.865683,0.8980833586857316,elevated_index_context,elevated_index_context,weather_daily_reference
2023-08-25,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Fundao,Fundao_25082023,2023-08-25,2023-08-25,194,4,20231049112,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,20.0,26.266666666666666,34.0,22.0,44.333333333333336,65.0,0.0,2.874166666666667,5.15,11.3,True,0.9353513842409492,0.9047763918466687,0.6496805597809553,0.6962275631274718,0.3346516580468512,0.833176,0.9683602068755705,critical_weather_context,weather_daily_reference,2023-08-25 12:00:00,12,31.6,24.0,2.46,8.856,31.6,24.0,8.856,0.0,98.676,338.456,895.761,22.131,348.098,65.58,0.9689686644356557,extreme,614.932,0.8856099787039854,extreme,0.943961,0.9674475205354427,critical_index_context,critical_index_context,weather_daily_reference
2023-08-26,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Serta,Serta_26082023,2023-08-26,2023-08-26,16,5,20231055679,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,16.9,21.650000000000002,26.9,28.0,52.791666666666664,77.0,0.0,4.214583333333334,7.14,15.3,True,0.7342561606327959,0.8098570124733799,0.9447824764222695,0.9370246425311834,0.3346516580468512,0.829457,0.9647094615150593,critical_weather_context,weather_daily_reference,2023-08-26 12:00:00,12,25.2,37.0,5.01,18.036,25.2,37.0,18.036,0.0,98.728,341.877,903.301,35.388,351.33,86.643,0.9981746273197445,extreme,616.592,0.8880438089443261,extreme,0.965135,0.9808335868573167,critical_index_context,critical_index_context,weather_daily_reference
2024-07-24,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Castelo Branco,CasteloBranco_24072024,2024-07-24,2024-07-24,50,5,20240905553,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,23.1,30.645833333333332,38.5,17.0,39.458333333333336,63.0,0.0,2.3904166666666664,4.98,10.4,True,0.9937633100091269,0.9644052327350168,0.6045025859446304,0.5759050806206267,0.3346516580468512,0.844425,0.9762701551566778,critical_weather_context,weather_daily_reference,2024-07-24 12:00:00,12,36.6,22.0,2.67,9.612,36.6,22.0,9.612,0.0,97.071,125.539,575.969,18.594,162.52,55.576,0.915728627928202,extreme,445.733,0.6826893824155765,high,0.845817,0.8801338606632187,elevated_index_context,elevated_index_context,weather_daily_reference
2024-09-13,late_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Fundao,Fundao_13092024,2024-09-13,2024-09-14,1042,4,20241136375,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,16.7,22.45,29.0,28.0,50.541666666666664,84.0,0.0,3.7554166666666666,5.77,12.4,True,0.7984484332217828,0.8098570124733799,0.7874961971402494,0.8089443261332522,0.3346516580468512,0.801255,0.937328871311226,critical_weather_context,weather_daily_reference,2024-09-13 12:00:00,12,25.0,36.0,5.46,19.656,25.0,36.0,19.656,0.0,97.533,246.427,951.127,32.805,299.112,82.736,0.9963492546394889,extreme,634.494,0.9134469120778825,extreme,0.971479,0.9872223912382111,critical_index_context,critical_index_context,weather_daily_reference
